opportunity_id,account_name,rep_name,manager,rep_tier,stage,industry,region,product,deal_value,created_date,close_date,time_to_close_days,last_activity_date,calls_made,emails_sent,meetings_held,forecast_close_rate,actual_close_rate,fiscal_year,fiscal_quarter
OPP-000001,Account_01829,Rep_041,Manager_06,Low,Prospecting,Finance,North America,Support Bundle,20150.86,2023-07-18,2023-12-20,155,2023-09-19,18,7,6,0.3976,0.3775,2023,3
OPP-000002,Account_04932,Rep_003,Manager_03,Top,Prospecting,Technology,EMEA,Pro Plan,27186.92,2023-04-22,2023-07-03,72,2023-06-26,18,28,3,0.6564,0.7109,2023,2
OPP-000003,Account_03463,Rep_029,Manager_01,Mid,Decision Makers,Real Estate,APAC,Enterprise Suite,147297.87,2022-11-23,2023-01-23,61,2023-01-07,5,15,5,0.4701,0.5336,2022,4
OPP-000004,Account_02818,Rep_007,Manager_07,Top,Prospecting,Media,APAC,Enterprise Suite,79878.12,2024-01-06,2024-04-30,115,2024-04-24,2,31,8,0.6742,0.5,2024,1
OPP-000005,Account_06795,Rep_008,Manager_01,Top,Closed Lost,Media,APAC,Add-On Services,20154.54,2022-06-11,2022-06-28,17,2022-06-21,19,14,1,0.7102,0.565,2022,2
OPP-000006,Account_07099,Rep_003,Manager_03,Top,Proposal/Price Quote,Healthcare,LATAM,Starter Pack,6997.12,2022-06-13,2022-07-21,38,2022-06-28,9,31,5,0.6901,0.575,2022,2
OPP-000007,Account_04991,Rep_011,Manager_04,Mid,Needs Analysis,Finance,EMEA,Pro Plan,59401.01,2023-07-01,2023-09-15,76,2023-07-11,6,31,6,0.4888,0.4434,2023,3
OPP-000008,Account_02657,Rep_018,Manager_04,Mid,Closed Lost,Technology,EMEA,Support Bundle,6406.05,2023-03-26,2023-04-22,27,2023-04-17,2,22,6,0.5312,0.3906,2023,1
OPP-000009,Account_05370,Rep_018,Manager_04,Mid,Prospecting,Energy,LATAM,Professional Services,116501.93,2023-10-07,2024-01-04,89,2023-11-04,15,11,4,0.5684,0.5992,2023,4
OPP-000010,Account_04789,Rep_009,Manager_02,Top,Qualification,Education,LATAM,Professional Services,41595.15,2023-06-23,2023-08-23,61,2023-08-10,12,16,2,0.7465,0.6495,2023,2
OPP-000011,Account_05141,Rep_033,Manager_05,Low,Value Proposition,Finance,LATAM,Enterprise Suite,118344.06,2022-08-13,2022-10-15,63,2022-08-23,20,6,6,0.3446,0.3807,2022,3
OPP-000012,Account_07956,Rep_025,Manager_04,Mid,Decision Makers,Logistics,North America,Add-On Services,23240.5,2024-12-19,2024-12-31,48,2025-01-05,4,19,5,0.5004,0.4554,2024,4
OPP-000013,Account_07814,Rep_008,Manager_01,Top,Qualification,Manufacturing,EMEA,Pro Plan,28664.55,2024-07-18,2024-09-29,73,2024-07-19,17,8,4,0.7876,0.8172,2024,3
OPP-000014,Account_06247,Rep_041,Manager_06,Low,Value Proposition,Finance,North America,Pro Plan,65015.16,2022-11-10,2023-02-27,109,2022-12-28,20,22,7,0.3874,0.4304,2022,4
OPP-000015,Account_00475,Rep_002,Manager_02,Top,Prospecting,Retail,North America,Starter Pack,7765.37,2023-09-22,2023-11-29,68,2023-10-23,3,33,1,0.6545,0.5319,2023,3
OPP-000016,Account_07757,Rep_049,Manager_07,Low,Value Proposition,Logistics,EMEA,Pro Plan,33093.07,2022-09-20,2022-12-07,78,2022-11-20,9,35,6,0.405,0.3355,2022,3
OPP-000017,Account_03269,Rep_014,Manager_07,Mid,Closed Won,Real Estate,LATAM,Support Bundle,13948.98,2023-02-16,2023-03-05,17,2023-02-26,17,30,1,0.4827,0.5073,2023,1
OPP-000018,Account_04821,Rep_016,Manager_02,Mid,Qualification,Retail,North America,Starter Pack,18521.66,2022-02-13,2022-04-21,67,2022-03-15,3,5,3,0.5483,0.4109,2022,1
OPP-000019,Account_01950,Rep_005,Manager_05,Top,Closed Won,Manufacturing,LATAM,Starter Pack,16190.28,2022-05-26,2022-06-05,10,2022-06-04,7,10,7,0.7498,0.7607,2022,2
OPP-000020,Account_00795,Rep_016,Manager_02,Mid,Negotiation/Review,Education,APAC,Add-On Services,10058.6,2023-01-25,2023-03-03,37,2023-02-01,14,28,7,0.5053,0.3577,2023,1
OPP-000021,Account_03299,Rep_047,Manager_05,Low,Prospecting,Real Estate,North America,Support Bundle,15174.13,2022-07-21,2023-02-17,211,2022-08-06,8,14,3,0.3671,0.2503,2022,3
